Region,StationID,sample_date,Enterococcus,Logan_rainfall_in,Rainfall_Category
CHARLES RIVER,012,2022-12-28,52,0,NA
CHARLES RIVER,012,2022-12-12,31,0.04,5
CHARLES RIVER,012,2022-11-28,262,0.64,4
CHARLES RIVER,012,2022-11-14,31,0.1,5
CHARLES RIVER,012,2022-11-02,20,0.04,5
CHARLES RIVER,012,2022-10-20,10,0,NA
CHARLES RIVER,012,2022-10-03,20,0,NA
CHARLES RIVER,012,2022-09-19,52,0.43,5
CHARLES RIVER,012,2022-09-19,74,0.43,5
CHARLES RIVER,012,2022-09-06,17300,0.97,4
CHARLES RIVER,012,2022-08-23,213,0.46,5
CHARLES RIVER,012,2022-08-10,10,0.14,5
CHARLES RIVER,012,2022-07-28,20,0.04,5
CHARLES RIVER,012,2022-07-11,31,0,NA
CHARLES RIVER,012,2022-06-28,97,0.65,4
CHARLES RIVER,012,2022-06-13,52,0.09,5
CHARLES RIVER,012,2022-06-02,161,0.19,5
CHARLES RIVER,012,2022-05-17,63,0.09,5
CHARLES RIVER,012,2022-05-04,20,0.21,5
CHARLES RIVER,012,2022-05-04,10,0.21,5
CHARLES RIVER,012,2022-04-19,201,0.56,4
CHARLES RIVER,012,2022-04-19,185,0.56,4
CHARLES RIVER,012,2022-04-05,10,0.01,5
CHARLES RIVER,012,2022-03-24,110,0.75,4
CHARLES RIVER,012,2022-03-10,10,0.26,5
CHARLES RIVER,012,2022-03-10,10,0.26,5
CHARLES RIVER,012,2022-02-22,10,0.35,5
CHARLES RIVER,012,2022-02-09,52,0.49,5
CHARLES RIVER,012,2022-01-27,10,0,NA
CHARLES RIVER,012,2022-01-12,10,0,NA
CHARLES RIVER,012,2021-12-29,10,0.04,5
CHARLES RIVER,012,2021-12-21,20,0,NA
CHARLES RIVER,012,2021-12-02,31,0.02,5
CHARLES RIVER,012,2021-11-17,41,0,NA
CHARLES RIVER,012,2021-11-03,41,0,NA
CHARLES RIVER,012,2021-10-20,20,0,NA
CHARLES RIVER,012,2021-10-20,41,0,NA
CHARLES RIVER,012,2021-10-08,74,0,NA
CHARLES RIVER,012,2021-09-22,10,0,NA
CHARLES RIVER,012,2021-09-10,1010,1.15,3
CHARLES RIVER,012,2021-08-23,160,2.45,2
CHARLES RIVER,012,2021-08-11,74,0.03,5
CHARLES RIVER,012,2021-07-26,63,0.15,5
CHARLES RIVER,012,2021-07-14,98,0.01,5
CHARLES RIVER,012,2021-07-06,161,0.29,5
CHARLES RIVER,012,2021-07-06,228,0.29,5
CHARLES RIVER,012,2021-06-15,1720,0.54,4
CHARLES RIVER,012,2021-06-02,74,0,NA
CHARLES RIVER,012,2021-05-19,20,0,NA
CHARLES RIVER,012,2021-05-05,771,1.2,3
CHARLES RIVER,012,2021-05-05,613,1.2,3
CHARLES RIVER,012,2021-04-21,31,0.24,5
CHARLES RIVER,012,2021-04-05,31,0,NA
CHARLES RIVER,012,2021-03-25,20,0.15,5
CHARLES RIVER,012,2021-03-10,10,0,NA
CHARLES RIVER,012,2021-03-10,10,0,NA
CHARLES RIVER,012,2021-02-24,10,0,NA
CHARLES RIVER,012,2021-02-10,10,0.17,5
CHARLES RIVER,012,2021-02-10,41,0.17,5
CHARLES RIVER,012,2021-01-25,10,0,NA
CHARLES RIVER,012,2021-01-11,10,0,NA
CHARLES RIVER,012,2021-01-11,10,0,NA
CHARLES RIVER,012,2020-12-28,148,0,NA
CHARLES RIVER,012,2020-12-15,98,0.06,5
CHARLES RIVER,012,2020-11-30,63,0.85,4
CHARLES RIVER,012,2020-11-30,74,0.85,4
CHARLES RIVER,012,2020-11-18,74,0,NA
CHARLES RIVER,012,2020-11-02,1790,0.62,4
CHARLES RIVER,012,2020-10-20,121,0,NA
CHARLES RIVER,012,2020-10-06,31,0,NA
CHARLES RIVER,012,2020-09-22,10,0,NA
CHARLES RIVER,012,2020-09-22,20,0,NA
CHARLES RIVER,012,2020-09-08,107,0,NA
CHARLES RIVER,012,2020-08-24,1660,1.33,3
CHARLES RIVER,012,2020-08-10,173,0,NA
CHARLES RIVER,012,2020-07-29,586,0,NA
CHARLES RIVER,012,2020-07-13,122,0.07,5
CHARLES RIVER,012,2020-06-29,11200,1.38,3
